"~id","~labels","notes","level","name","alias","tags","zh_title","hi_title","es_title","fr_content","hi_content","en_title","es_content","en_content","fr_title","zhi_content","parent","zh_content"
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:7","DESCRIPTION",,,"desc.DIVINE SOVEREIGNTY",,,"神圣主权","ईश्वरीय संप्रभुता","SOBERANÍA DIVINA","Concept théologique selon lequel Dieu exerce un contrôle absolu sur toutes choses, ce qui signifie que tout ce qui se passe dans l'univers se produit selon son plan et sa volonté, témoignant de son autorité et de son pouvoir suprêmes sur la création. Essentiellement, Dieu est le souverain ultime, régnant entièrement sur tous les aspects de l'existence.","धार्मिक अवधारणा यह है कि ईश्वर का सभी चीज़ों पर पूर्ण नियंत्रण है, जिसका अर्थ है कि ब्रह्मांड में जो कुछ भी होता है वह उसकी योजना और इच्छा के अनुसार होता है, जो सृष्टि पर उसके सर्वोच्च अधिकार और शक्ति को दर्शाता है; अनिवार्य रूप से, ईश्वर अस्तित्व के सभी पहलुओं पर पूर्ण प्रभुत्व रखने वाला अंतिम शासक है।","DIVINE SOVEREIGNTY","El concepto teológico de que Dios tiene control absoluto sobre todas las cosas, lo que significa que todo lo que sucede en el universo ocurre según su plan y voluntad, lo que significa su suprema autoridad y poder sobre la creación; esencialmente, Dios es el gobernante supremo con dominio completo sobre todos los aspectos de la existencia.","The theological concept that God has absolute control over all things, meaning everything that happens in the universe occurs according to His plan and will, signifying His supreme authority and power over creation; essentially, God is the ultimate ruler with complete dominion over all aspects of existence.","SOUVERAINETÉ DIVINE","神学概念认为，上帝对万物拥有绝对的掌控权，宇宙中发生的一切都按照他的计划和旨意进行，彰显了他对万物至高无上的权威和力量；本质上，上帝是终极统治者，完全统领万物。",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:9","DESCRIPTION",,,"desc.FAITHFULNESS",,,"忠诚","वफ़ादारी","FIDELIDAD","Adhésion à quelque chose à laquelle on est lié par un engagement ou un devoir.","किसी ऐसी चीज़ का पालन करना जिसके प्रति कोई प्रतिज्ञा या कर्तव्य से बंधा हो।","FAITHFULNESS","Adherencia a algo a lo que uno está obligado por una promesa o deber.","Adherence to something to which one is bound by a pledge or duty.","FIDÉLITÉ","坚守承诺或义务所约束的事物。",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:11","DESCRIPTION",,,"desc.HOLINESS",,,"圣洁","पवित्रता","SANTIDAD","Qualité ou état de sainteté ; un Être (Dieu) exalté et digne d'une dévotion complète, parfait en bonté et en droiture ; un être humain entièrement dévoué à la Déité ou à l'Œuvre de la Déité ; possédant une qualité divine ; cet objet vénéré comme sacré.","पवित्र होने का गुण या अवस्था; एक ऐसा प्राणी (ईश्वर) जो उत्तम है और जो अच्छाई और धार्मिकता में परिपूर्ण होने के कारण पूर्ण भक्ति का पात्र है; एक ऐसा मनुष्य जो पूरी तरह से देवता या देवता के कार्य के प्रति समर्पित है; जिसमें दिव्य गुण है; वह वस्तु जिसे पवित्र मानकर पूजा जाता है।","HOLINESS","La cualidad o estado de ser santo; un Ser (Dios) que es exaltado y digno de completa devoción como Uno perfecto en bondad y rectitud; un ser humano dedicado enteramente a la Deidad o a la Obra de la Deidad; que tiene una cualidad Divina; aquel objeto que se venera como sagrado.","The quality or state of being holy; a Being (God) Who is exalted and worthy of complete devotion as One perfect in goodness and righteousness; a human devoted entirely to the Deity or the Work of the Deity; having a Divine quality; that object which is venerated as sacred.","SAINTETÉ","圣洁的品质或状态；被尊崇的存在（神），是完全善良和正义的存在，值得完全的奉献；完全献身于神或神之工作的人类；具有神圣的品质；被尊崇为神圣的物体。",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:13","DESCRIPTION",,,"desc.LOVE",,,"爱","पवित्रता","AMOR","Une forte affection pour quelqu'un découlant de liens de parenté ou personnels ; une attirance fondée sur l'affection et la tendresse ; une affection fondée sur l'admiration, la bienveillance ou des intérêts communs ; une assurance d'affection ; un attachement chaleureux, de l'enthousiasme ou de la dévotion ; l'objet d'attachement, de dévotion ou d'admiration.","किसी दूसरे के प्रति रिश्तेदारी या व्यक्तिगत संबंधों से उत्पन्न होने वाला गहरा स्नेह; स्नेह और कोमलता पर आधारित आकर्षण; प्रशंसा, परोपकार या सामान्य हितों पर आधारित स्नेह; स्नेह का आश्वासन; गर्मजोशी से भरा लगाव, उत्साह या भक्ति; लगाव, भक्ति या प्रशंसा की वस्तु।","LOVE","Un fuerte afecto por otra persona que surge del parentesco o de lazos personales; atracción basada en el afecto y la ternura; afecto basado en la admiración, la benevolencia o intereses comunes; una garantía de afecto; un cálido apego, entusiasmo o devoción; el objeto de apego, devoción o admiración.","A strong affection for another arising out of kinship or personal ties; attraction based on affection and tenderness; affection based on admiration, benevolence, or common interests; an assurance of affection; warm attachment, enthusiasm, or devotion; the object of attachment, devotion, or admiration.","AMOUR","因亲属关系或个人关系而对他人产生的强烈感情；基于爱慕和温柔的吸引力；基于钦佩、仁慈或共同兴趣的感情；感情的确定性；热烈的依恋、热情或忠诚；依恋、忠诚或钦佩的对象。",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:15","DESCRIPTION",,,"desc.SPIRITUALITY",,,"灵性","आध्यात्मिकता","ESPIRITUALIDAD","Sensibilité ou attachement aux valeurs du Saint-Esprit de Dieu.","ईश्वर की पवित्र आत्मा के मूल्यों के प्रति संवेदनशीलता या लगाव।","SPIRITUALITY","Sensibilidad o apego a los valores del Espíritu Santo de Dios.","Sensitivity or attachment to the values of the Holy Spirit of God.","SPIRITUALITÉ","对上帝圣灵价值观的敏感或依恋。",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:17","DESCRIPTION",,,"desc.THE GOSPEL",,,"福音","सुसमाचार","EL EVANGELIO","La vie, la mort, l'ensevelissement, la résurrection, l'ascension et le retour de Jésus-Christ.","यीशु मसीह का जीवन, मृत्यु, दफ़न, पुनरुत्थान, स्वर्गारोहण और वापसी।","THE GOSPEL","Vida, Muerte, Sepultura, Resurrección, Ascensión y Regreso de Jesucristo.","The Life, Death, Burial, Resurrection, Ascension and Return of Jesus Christ.","L'ÉVANGILE","耶稣基督的生平、死亡、埋葬、复活、升天和再来。",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:24","CONTENT",,,"content.EMPTINESS",,,"空虚","खालीपन","VACÍO","C'est pourquoi nous mangeons sans avoir faim. C'est pourquoi nous regardons la télévision pendant des heures et jouons avec des planches Ouija et des horoscopes. C'est pourquoi nous nous lançons dans une addiction après l'autre, et il n'existe qu'un seul remède pour combler ce vide au plus profond de notre être : le Seigneur Jésus-Christ. Quelle folie, alors, de fréquenter l'église pendant des années sans JAMAIS rencontrer Jésus !","यही कारण है कि हम तब भी खाते हैं जब हमें भूख नहीं होती। यही कारण है कि हम घंटों बिना सोचे-समझे टीवी देखते हैं और ओइजा बोर्ड और राशिफल के साथ खेलते हैं। यही कारण है कि हम एक के बाद एक लत में पड़ जाते हैं, और केवल एक ही इलाज है जो हमारे अस्तित्व के मूल में उस काले छेद को भर सकता है: प्रभु यीशु मसीह। तो, सालों तक चर्च में जाना और कभी यीशु से न मिलना कितना पागलपन है!!!","EMPTINESS","Por eso comemos cuando no tenemos hambre. Por eso vemos horas de televisión sin sentido y jugamos con tablas de ouija y horóscopos. Por eso nos aferramos a una adicción tras otra, y solo hay una cura que llenará ese vacío en lo más profundo de nuestro ser: El Señor Jesucristo. ¡Qué locura es, entonces, ir a la iglesia durante años y no conocer jamás a Jesús!","It’s why we eat when we’re not hungry.  It’s why we watch hours of mindless television and play with ouija boards and horoscopes.  It’s why we pursue one addiction after another, and there’s only One Cure that will fill that black hole in the core of our being: The Lord Jesus Christ.  How insane it is, then, to attend Church for years and NEVER meet Jesus!!!","VIDE","这就是为什么我们不饿的时候会吃东西。 这就是为什么我们会连续几个小时看无聊的电视，玩通灵板和星座运势。 这就是为什么我们会一个接一个地沉迷于某个东西，而只有一种解药才能填补我们内心深处的黑洞：主耶稣基督。 那么，多年来一直去教堂却从未见过耶稣，这是多么疯狂啊！！！",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:21","CONTENT",,,"content.IMPERSONAL GOD",,,"非人格化的神","अवैयक्तिक ईश्वर","DIOS IMPERSONAL","Un dieu impersonnel n'est pas Dieu du tout ; c'est pourquoi le Dieu des Hébreux s'appelait « JE SUIS ».","अवैयक्तिक ईश्वर बिल्कुल भी ईश्वर नहीं है; इसीलिए इब्रानियों के ईश्वर ने अपना नाम 'मैं हूँ' रखा।","IMPERSONAL GOD","Un dios impersonal no es Dios en absoluto; por eso el Dios de los hebreos se llamó a sí mismo 'YO SOY'.","An impersonal god is not God at all; that is why the God of the Hebrews named Himself 'I AM'","DIEU IMPERSONNEL","非人格化的神根本不是神；这就是为什么希伯来人的神自称为'我是'。",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:20","CONTENT",,,"content.GOD-AWARENESS",,,"神识","ईश्वर-जागरूकता","CONCIENCIA DE DIOS","La conscience de soi est le deuxième don le plus précieux que Dieu nous ait fait ; le premier est la conscience de Dieu !","आत्म-जागरूकता ईश्वर द्वारा हमें दिया गया दूसरा सबसे कीमती उपहार है; पहला है ईश्वर-जागरूकता!","GOD-AWARENESS","La autoconciencia es el segundo regalo más preciado que Dios nos ha dado; ¡el primero es la conciencia de Dios!","Self-awareness is the second most precious gift God has given us; the first is God-awareness!","LA CONSCIENCE DE DIEU","自我意识是上帝赐予我们的第二珍贵的礼物；第一珍贵的礼物是神识！",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:27","CONTENT",,,"content.EGO",,,"我自己","मैं खुद","YO MISMO","La Terre est 3,5 millions de fois plus grande que moi… ...le Soleil est un million de fois plus grand que la Terre… ...ce qui veut dire que le Soleil est 176 SEPTILLIONS (176 suivi de 24 zéros) fois plus grand que moi… ...DIEU est grand…Je suis pathétique.","पृथ्वी मुझसे 3.5 मिलियन गुना बड़ी है... सूर्य पृथ्वी से दस लाख गुना बड़ा है... इसका मतलब है कि सूर्य मुझसे 176 सेप्टिलियन (176 के बाद 24 शून्य) गुना बड़ा है... ईश्वर महान है...मैं दयनीय हूँ।","EGO","La Tierra es 3,5 millones de veces más grande que yo… …el Sol es un millón de veces más grande que la Tierra… …eso significa que el Sol es 176 SEPTILLONES (176 seguido de 24 ceros) de veces más grande que yo… …DIOS es grande… soy patético.","The Earth is 3.5 million times bigger than me...  ...the Sun is a million times bigger than the Earth...  ...that means the Sun is 176 SEPTILLION (176 followed by 24 zeros) times larger than myself...  ...GOD is great...I am pathetic.","MOI-MÊME","地球比我大350万倍…… ……太阳比地球大100万倍…… ……也就是说，太阳比我大176的7次方倍（176后面跟着24个零）…… ……上帝真伟大……我真可怜。",,"地球比我大350万倍… …太阳比地球大100万倍… …也就是说，太阳比我大176的7次方倍（176后面跟着24个零）… …上帝真伟大…我真可怜。"
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:29","CONTENT",,,"content.MEEK",,,"温柔","नम्र","MANSO","Tandis que d'autres adorent les dieux de la Puissance, de la Vitesse, de Mammon et de la Spiritualité... ...nous, chrétiens, adorons le DIEU Doux et Humble... ...le DIEU Méprisé et Rejeté... ...le DIEU Crucifié et Mis à Mort... ...le DIEU qui nous a compris à un niveau EXPÉRIENTIEL... ...et qui nous a quand même aimés au point de MOURIR pour nous... ...et ce faisant... A DÉTRUIT LE POUVOIR DE LA MORT !!!!!!!","जबकि अन्य लोग शक्ति, शक्ति, गति, धन और आध्यात्मिकता के देवताओं की पूजा करते हैं... ...हम ईसाई नम्र और विनम्र ईश्वर की पूजा करते हैं... ...तिरस्कृत और अस्वीकृत ईश्वर की... ...क्रूस पर चढ़ाए गए और मारे गए ईश्वर की... ...वह ईश्वर जिसने हमें अनुभव के स्तर पर समझा... ...और फिर भी हमसे इतना प्यार किया कि हमारे लिए मर गया... ...और ऐसा करके... मृत्यु की शक्ति को नष्ट कर दिया!!!!!!!!","MEEK","Mientras otros adoran a los dioses de la Fuerza, el Poder, la Velocidad, Mammón y la Espiritualidad... ...nosotros, los cristianos, adoramos al DIOS Manso y Humilde... ...al DIOS Despreciado y Rechazado... ...al DIOS Crucificado y Muerto... ...al DIOS que nos comprendió a un nivel EXPERIENCIAL... ...y aun así nos amó lo suficiente como para MORIR por nosotros... ...y al hacerlo... ¡¡¡DESTRUYÓ EL PODER DE LA MUERTE!!!!!!!!","While others worship the gods of Might, Power, Speed, Mammon and Spirituality...  ...we Christians worship the Meek and Lowly GOD...  ...the Despised and Rejected GOD...  ...the Crucified and Slain GOD...  ...the GOD Who understood us at an EXPERIENTIAL level...  ...and still loved us enough to DIE for us...  ...and in so doing...  DESTROYED THE POWER OF DEATH!!!!!!!!","DOUX","当其他人崇拜力量、权力、速度、玛门和灵性之神时… …我们基督徒崇拜温柔谦卑的神… …被鄙视和拒绝的神… …被钉在十字架上和被杀的神… …在经验层面上理解我们的神… …仍然爱我们，甚至为我们而死… …并以此… 摧毁了死亡的力量！！！！！！",,
"4:d55d1808-7ccb-481b-8389-6ac2b887737c:31","CONTENT",,,"content.MIRACLES",,,"奇迹","चमत्कार","MILAGROS","Les miracles sont... ...les seuls actes que Dieu ait jamais accomplis, les seuls actes que Dieu accomplit, et les seuls actes que Dieu accomplira jamais !","चमत्कार... ...केवल वही कार्य हैं जो भगवान ने कभी किए हैं, केवल वही कार्य जो भगवान कर रहे हैं, और केवल वही कार्य हैं जो भगवान कभी करेंगे!","MIRACLES","Los milagros son... ...los únicos actos que Dios ha hecho, los únicos actos que Dios está haciendo, y los únicos actos que Dios hará.","Miracles are...  ...the only Acts God has ever done,  the only Acts God is doing,  and the only Acts God will ever do!","MIRACLES","奇迹是… …上帝曾经做过的唯一事迹， 上帝正在做的唯一事迹， 以及上帝将来要做的唯一事迹！",,
